output,correct out,translated
list it does not mean that the functions that are defined for lists are actualy legal f,list it does not mean that the functions that are defined for lists are actually legal for,सूची का मतलब यह नहीं है कि सूचियों के लिए परिभाषित किए गए फ़ंक्शन वास्तव में कानूनी एफ हैं
yo wold have for instance a function like say push define and it wil haveto parameters,you would have for instance a function like say push define and it will have two parameters,यो दुनिया उदाहरण के लिए एक फ़ंक्शन है जैसे कि पुश परिभाषित करें और इसे पैरामीटर करना होगा
ale pased to it now this calls this function init which is hat is caled init so init,"value l passed to it now this calls this function init which is why it is called init. so, init","एले ने इसे पारित किया अब इस फ़ंक्शन को कॉल करें जो कि टोपी है, जिसे init na init कहा जाता है"
delete ma define for heaps but itis like w have the separate copy of this functin,"delete max define for heaps, but it is like we have the separate copy of this function",ढेर के लिए मा को परिभाषित करें लेकिन यह ऐसा है जैसे हमारे पास इस फ़ंक्शन की अलग कॉपी है
max no mater how the priority que s atualy implemented internally the delete mak shou,max no matter how the priority queue is actually implemented internally the delete max should,मैक्स नो मैटर कैसे प्राथमिकता कतार वास्तव में आंतरिक रूप से लागू की जाती है
thy have a concrete data types which we use in u,they have a concrete data types which we use in our program. ,तेरा एक ठोस डेटा प्रकार है जो हम यू में उपयोग करते हैं
not want to lok at the implementation and ask whether it is a list or not because we,"not want to look at the implementation and ask whether it is a list or not, because we",कार्यान्वयन को देखना नहीं चाहते हैं और पूछना चाहते हैं कि यह एक सूची है या नहीं क्योंकि हम
wlectres let us revisit what we ean by a data structurar,weeks' lectures. let us revisit what we lean by a data structure.,"इलेक्ट्रिक हमें एक डेटा संरचना से क्या मतलब है, इसे संशोधित करें"
u the important thing is that we would lie,u. the important thing is that we would like,यू महत्वपूर्ण बात यह है कि हम झूठ बोलेंगे
implementation but we definitely do not want the implementation to determine h,"to the implementation, but we definitely do not want the implementation to determine how",कार्यान्वयन लेकिन हम निश्चित रूप से नहीं चाहते हैं कि कार्यान्वयन एच निर्धारित करे
that the user ses as a sequence of inserts and delete max the ur does not se any differenc,that the user sees as a sequence of inserts and delete max the user does not see any difference,उपयोगकर्ता आवेषण के अनुक्रम के रूप में देखता है और अधिकतम को हटा देता है उर कोई अंतर नहीं देखता है
perception that te ne is faster than the other but the actual correctnes of the implementation,"a perception that the one is faster than the other, but the actual correctness of the implementation",यह धारणा कि एक दूसरे की तुलना में तेज है लेकिन कार्यान्वयन की वास्तविक शुद्धता
for input which is shown as a kind of a thing at the bottom here we have the slot for input,for input which is shown as a kind of a thing at the bottom here we have the slot for input.,"इनपुट के लिए जो नीचे की तरफ एक तरह की चीज़ के रूप में दिखाया गया है, हमारे पास इनपुट के लिए स्लॉट है"
and we have the way to reciive information about the stady of the stack so we can imagin,and we have the way to receive information about the state of the stack. so we can imagine,और हमारे पास स्टैक के अध्ययन के बारे में जानकारी प्राप्त करने का तरीका है ताकि हम कल्पना कर सकें
